beer_name,brewery,city,state,style,abv,date,notes,rating,serving_type,venue_name,venue_city,venue_state,venue_country,catalog_beer_id,venue_latitude,venue_longitude
Orville Smoked Helles,Living Haus Beer Co,Portland,OR,Smoked Helles,5.1,2026-02-28,Youtube Video: The Perfect Pi Hole Upgrade - Technitium Recursive DNS Server,2.75,can,,,,,,,
Caribbean Passion,Alvarado Street Brewing,Salinas,CA,Imperial Sour Ale,10.0,2026-02-18,Youtube Video: Nvidia DGX Spark as a Mini Desktop PC? - Featuring Dell Pro Max GB10,4.25,can,Alvarado Street Brewing,Salinas,CA,US,,36.6744117,-121.6550370
Hoppy Blonde,BJ's Brewhouse,Temple,TX,Kolsch-Style Ale,6.5,2026-01-31,Youtube Video: New Server (Node) Day - Expensive Upgrades for the Microcloud,4.5,can,,,,,,,
XPA the EXperimental IPA,Ninkasi Brewing,Eugene,OR,IPA,6.5,2026-01-27,Youtube Video: Run ANY Device You Own Through A VPN - VPN Gateway Tutorial 2026,3.0,crowler,,,,,,,
Megalodon,Ninkasi Brewing,Eugene,OR,Triple IPA,10.0,2026-01-15,Youtube Video: More X79 Microcloud Shenanigans - Proxmox Backup Server Install,4.25,cask,Foam & Froth,Hood River,OR,US,,45.5311636,-121.6475587
Beer Nerds,Mortalis Brewing,Avon,NY,,6.0,2026-01-06,Youtube Video: My favorite mouse got an upgrade! - Elecom Huge Plus,2.25,draft,,,,,,,
Percentage of Survival,Drekker Brewing,Fargo,ND,IPA,7.0,2025-12-23,Youtube Video: Installing Proxmox on my X79 Microcloud was beyond frustrating...,2.0,crowler,Drekker Brewing,Fargo,ND,US,,46.8763079,-96.8078928
Holy Ghost WCIPA,Boneyard Brewing,Portland,OR,West Coast IPA,6.66,2025-12-07,Youtube Video: The FASTEST Desktop GPU crammed into an Office PC - Dell Pro Max Tower T2 + RTX 6000 Pro Blackwell,3.75,growler,,,,,,,
Fresh Squeezed IPA,Deschutes Brewing,Bend,OR,"Fresh ""Wet"" Hop Ale",6.4,2025-11-25,Youtube Video: Is the Nvidia Tesla V100 still good for AI? - Inspur DGX V100 vs RTX 5090,3.5,can,The Ale House,Vancouver,WA,US,04cc69e9-8350-422c-bcb0-de19538df3a3,45.6306954,-122.6744557
Pirate Stout Rum-Barrel Aged,Santiam Brewing,Salem,OR,Stout,8.0,2025-11-09,Youtube Video: $399 For Eight Nodes - The Perfect Homelab Server???,1.25,can,,,,,,,
The Waldo's 2025 IPA,Lagunitas Brewing,Petaluma,CA,IPA,11.4,2025-10-10,Youtube Video: AMD Strix Halo Mini Workstation - Minisforum MS-S1 Max,4.0,can,,,,,,,
Hophoria IPA,Evasions Brewing,McMinnville,OR,IPA (Gluten Free),6.1,2025-09-26,Youtube Video: Automating My 3-2-1 Backups with TrueNAS and ZFS,3.0,can,Evasions Brewing,McMinnville,OR,US,,45.2100367,-123.1944630
Dead & Dead Oak Finished Dead Guy Ale,Rogue Ales and Spirits,Florence,OR,,9.5,2023-02-28,"Youtube Video: Server Rack Tour 2021 - Epyc Rome and Ice Lake, OH MY!",2.25,can,,,,,,,
1859 Maibock,Santiam Brewing,Salem,OR,Maibock,6.1,2025-09-06,Youtube Video: Dual GPU Gaming Is Back??? The Lossless Scaling Video,4.75,draft,,,,,,,
Orbital Plane,Triangulum Collab Series,,,West Coast IPA,8.0,2025-08-09,Youtube Video: 245TB SSDs and a 5.9 PETABYTE Enclosure - FMS 2025 Wrap-up,2.0,bottle,The Fermentation Lounge,Minneapolis,MN,US,,44.9772995,-93.2654692
Black Butte Porter,Deschutes Brewing,Bend,OR,Brown Porter,5.2,2025-08-04,Youtube Video: Do YOU Need a Threadripper? - Threadripper 9970X vs Ryzen 9950X3D,1.0,cask,Deschutes Brewing,Bend,OR,US,f0786487-955e-419d-85df-bebfc9637ad4,44.0581728,-121.3153096
